DATE,POONDI,CHOLA VARAM,REDHILLS,TAMARAI PAKKAM,CHEMBARAM BAKKAM,KORATTUR ANICUT
01.01.12,0,0,0,0,3,0
02.01.12,7.4,2,4,6,10,14
03.01.12,0,0,7,3,0,0
12.01.12,0,2,1,0,0,0
31.01.12,3.2,0,4,1,20,0
13.03.12,0.6,0,0,0,0,0
30.04.12,10.4,0,0,0,0,0
01.05.12,3.2,0,0,0,0,3
04.05.12,3.8,0,0,0,0,0
05.05.12,0,0,3,0,0,0
13.05.12,3.4,0,0,0,0,0
18.05.12,20,0,0,21,3.5,0
14.06.12,4,0,0,0,0,0
20.06.12,0,0,1.4,0,0,0
22.06.12,0,0,0,0,3,0
27.06.12,0,22,19,22,0,0
28.06.12,15,0,0,8,3.5,5
29.06.12,0,19,15,3,0,0
30.06.12,0,0,0,0,2.5,0
01.07.12,9.6,6,13,8,11,11
06.07.12,0,0,0,0,1.5,0
07.07.12,0,0,3.6,6,0,0
11.07.12,69.6,7,0,11,0,0
12.07.12,19.6,30,9,5,12.5,0
14.07.12,7.4,0,16.2,0,27,0
15.07.12,54.6,12,9.4,35,2,0
16.07.12,10.4,0,1.2,14,0.5,7
17.07.12,0,9,19,0,0,0
18.07.12,8.4,4,14.2,5,18.5,26
22.07.12,1,0,0,0,0,0
25.07.12,0.8,0,0,3,0,0
26.07.12,7,0,4.6,16,1,0
27.07.12,0,0,2,0,0,0
28.07.12,0.6,6,3.4,2,1.5,0
04.08.12,5.2,2,1.5,5,1.5,5
05.08.12,0.6,0,1.4,0,3,7
06.08.12,0,0,5,8,0,0
07.08.12,0,0,0,0,0,4
08.08.12,1.4,0,0,0,4,0
09.08.12,20.6,0,9,13,2,9
10.08.12,4.4,4,2.4,7,7,25
14.08.12,3.6,4,0,6,27,28
15.08.12,6,5,6.8,18,8,28
16.08.12,6,0,1,0,1,0
17.08.12,12.2,0,0,26,0,0
18.08.12,0,2,11,3,11,13
20.08.12,0,0,2,0,0,3
26.08.12,14.6,8,22.4,38,18.5,40
29.08.12,10.4,0,0,0,5,10
30.08.12,1.6,0,1.4,2,0,0
31.08.12,7.2,0,0,0,0,0
02.09.12,1.6,0,1,0,0,0
03.09.12,35.2,35,42.6,25,20.5,33
07.09.12,0,0,1,0,4.5,6
08.09.12,29.6,30,55,38,22,15
09.09.12,2.8,2,3.4,3,2.5,0
11.09.12,7.6,0,0,4,22.5,9
12.09.12,0,0,0,8,0,0
13.09.12,8.8,8,1.6,3,7,0
14.09.12,34.6,6,15,19,12,48
15.09.12,15.8,8,9.4,14,26.5,10
16.09.12,0,0,0,2,3,6
18.09.12,0,0,1,0,0,0
20.09.12,0,0,0,2,0,0
21.09.12,24.2,2,4,5,23.3,45
27.09.12,2.4,28,22,11,0,0
29.09.12,1.4,0,0,0,0,0
01.10.12,2,0,0,0,3,10
02.10.12,0,2,1,0,0,0
07.10.12,20.6,6,7.4,13,12.5,7
15.10.12,32.4,0,0,25,0,0
16.10.12,0,0,1.4,0,3,0
17.10.12,0,0,0,12,9,0
18.10.12,12.6,6,12.6,13,11,15
19.10.12,44,58,26,51,36.5,15
20.10.12,73,80,92.4,95,45.5,50
21.10.12,35.6,98,95,41,25,28
22.10.12,12,28,30,25,27,26
23.10.12,3,7,0,11,5,5
24.10.12,1.6,8,2.2,9,12,7
25.10.12,1.4,0,1.4,0,3,0
29.10.12,0,0,1,0,0,7
30.10.12,0,0,0,3,0,0
31.10.12,38.2,66,55,36,71,50
01.11.12,31,10,26,31,19,26
02.11.12,0,0,0,0,0,7
03.11.12,37,60,46,55,20,16
04.11.12,28,50,8,57,3,65
22.11.12,2.2,0,1.2,0,0,0
23.11.12,3.6,2,4,12,3,3
24.11.12,1.6,0,0,0,0,0
25.11.12,0,0,1,0,0,0
26.11.12,0,0,0,0,0,7
03.12.12,10.6,9,14,13,3,30
04.12.12,110.6,90,84,108,93,58
05.12.12,38.2,4,4,45,7,32
06.12.12,0,3,0,0,0,0
29.12.12,1.6,6,2,9,13,0
30.12.12,39.6,53,49,51,42.5,48
31.12.12,2.4,0,1,2,0,0
