DATE,POONDI,CHOLA VARAM,REDHILLS,TAMARAI PAKKAM,CHEMBARAM BAKKAM,KORATTUR ANICUT
08.01.09,2,2,15,3,16,57
14.01.09,0,5,0,0,0,0
11.03.09,0,2,2,0,0,2
05.05.09,0,0,0,0,1,0
16.05.09,0,40,15,0,2,26
19.05.09,0,5,0,0,0,0
21.05.09,11,0,0,0,0,0
24.05.09,0,4,2,0,1,5
28.05.09,1,0,0,0,0,0
30.05.09,1,0,0,0,0,0
31.05.09,2,0,0,0,0,0
01.06.09,5,0,0,0,0,0
05.06.09,9,0,0,0,0,0
11.06.09,1,0,0,0,0,0
14.06.09,2,0,0,0,0,0
16.06.09,0,0,0,0,3,0
18.06.09,5,0,0,0,0,0
21.06.09,5,32,36,59,3,1
23.06.09,0,2,0,0,0,3
26.06.09,0,0,0,0,2,0
28.06.09,3,0,0,7,13,0
29.06.09,0,0,0,0,1,0
03.07.09,2,0,0,5,4,2
05.07.09,6,7,10,4,3,0
10.07.09,2,0,0,0,0,0
16.07.09,1,5,4,1,0,0
19.07.09,1,0,0,0,0,0
20.07.09,3,0,0,0,5,5
28.07.09,11,3,4,15,21,3
29.07.09,18.6,3,5,7,8,46
30.07.09,2,0,2,2,2,18
31.07.09,46,5,2,11,30,16
01.08.09,0.4,2,0,0,10,9
02.08.09,0,0,0,0,5,0
05.08.09,0,2,5,16,26,5
06.08.09,2,0,0,0,0,0
09.08.09,0,0,0,0,5,0
11.08.09,14,28,11,29,0,0
13.08.09,1,0,0,0,0,0
15.08.09,145,41,89,65,65,47
16.08.09,0,0,0,5,0,0
17.08.09,9,0,0,11,0,17
18.08.09,11,20,19,11,15,9
21.08.09,5,0,0,0,0,0
22.08.09,0,0,0,2,0,0
24.08.09,0,2,0,0,0,0
25.08.09,0,3,8,0,2,0
27.08.09,0.2,3,2,2,20,12
30.08.09,4,0,0,0,0,0
31.08.09,10,0,2,0,15,33
01.09.09,18,20,21,3,30,23
02.09.09,0,0,4,2,6,0
03.09.09,0,2,0,0,2,0
04.09.09,2.4,3,4,0,12,3
05.09.09,2,0,1,0,0,0
13.09.09,0,2,0,0,0,0
14.09.09,17,0,0,0,0,0
16.09.09,0,0,0,23,0,0
17.09.09,1,0,0,0,24,0
20.09.09,0,13,60,0,1,3
21.09.09,25.4,0,0,0,0,7
22.09.09,0,2,5,5,3,0
23.09.09,0,2,0,0,0,0
24.09.09,19,27,7,19,3,17
26.09.09,0,56,22,14,1,0
27.09.09,0,0,2,21,0,0
28.09.09,9,25,39,6,7,3
30.09.09,1.4,2,3,8,5,0
01.10.09,1,2,0,4,0,0
10.10.09,57,16,0,0,0,23
11.10.09,0,0,4,0,0,0
14.10.09,0,0,0,0,15,0
27.10.09,0,5,4,0,1,0
28.10.09,0,8,27,4,6,0
29.10.09,5,37,53,40,41,7
30.10.09,17,4,18,2,12,19
03.11.09,9,4,5,20,41,22
04.11.09,30,4,3,9,10,0
05.11.09,30,70,49,11,125,74
06.11.09,15,8,11,35,80,9
07.11.09,71,110,145,71,140,90
08.11.09,37.6,76,106,64,151,67
09.11.09,54.6,50,66,67,98,62
10.11.09,3,8,10,22,27,6
11.11.09,7,5,12,26,14,9
15.11.09,42.4,78,103,59,47,68
16.11.09,11.4,19,13,15,36,19
18.11.09,0,2,0,0,2,0
19.11.09,0,0,23,4,39,0
20.11.09,0,0,0,8,3,0
21.11.09,0,0,0,0,2,0
22.11.09,17,15,19,26,2,0
24.11.09,0,0,0,0,1,0
25.11.09,2,6,0,3,2,0
02.12.09,0,22,41,3,12,28
03.12.09,1,30,28,0,7,5
04.12.09,19,2,3,8,37,0
05.12.09,1,0,0,6,0,0
12.12.09,0,7,6,0,1,0
13.12.09,0,20,11,6,51,67
14.12.09,0,0,0,0,3,0
15.12.09,0,0,8,0,0,0
16.12.09,87,68,75,81,96,64
17.12.09,12,7,15,8,7,7
18.12.09,1,19,18,9,10,0
20.12.09,0,0,1,0,2,5
21.12.09,12,16,2,6,25,78
22.12.09,3,1,7,0,24,27
